행정구역(동읍면)별,항목,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06,2019. 06
행정구역(동읍면)별,항목,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
서울특별시,총인구수 (명),9757144,312394,363670,374685,461918,653815,805908,725932,804503,725042,848577,774325,774102,687510,478757,378632,292990,172628,77436,29454,8775,6091
서울특별시,남자인구수 (명),4762711,160411,186583,192941,236722,318263,399410,361757,403397,359767,420983,381922,375988,327244,224758,174136,132472,69491,24949,7578,2378,1561
서울특별시,여자인구수 (명),4994433,151983,177087,181744,225196,335552,406498,364175,401106,365275,427594,392403,398114,360266,253999,204496,160518,103137,52487,21876,6397,4530
종로구,총인구수 (명),152026,3706,4657,5228,6857,10982,12571,10311,10601,10010,13336,12740,12971,11113,7756,6641,5906,3674,1746,700,276,244
종로구,남자인구수 (명),74190,1855,2365,2664,3399,5286,6471,5169,5219,4811,6541,6300,6579,5616,3739,2966,2631,1522,635,235,107,80
종로구,여자인구수 (명),77836,1851,2292,2564,3458,5696,6100,5142,5382,5199,6795,6440,6392,5497,4017,3675,3275,2152,1111,465,169,164
중구,총인구수 (명),126143,3792,3715,3191,4338,7766,10612,10114,10574,8695,10078,10201,10801,9816,6848,5516,4729,2929,1471,578,192,187
중구,남자인구수 (명),62086,1910,1877,1608,2212,3702,5263,5043,5370,4469,5141,5193,5549,4939,3334,2512,2071,1130,466,175,61,61
중구,여자인구수 (명),64057,1882,1838,1583,2126,4064,5349,5071,5204,4226,4937,5008,5252,4877,3514,3004,2658,1799,1005,403,131,126
용산구,총인구수 (명),229122,6965,7466,7470,9340,13909,18863,18390,19847,16610,19981,18243,18169,16084,10951,9061,7989,5401,2568,1083,384,348
용산구,남자인구수 (명),110560,3628,3858,3741,4769,6557,9259,9183,9935,8122,9851,9071,8914,7781,5034,3925,3393,2093,894,307,147,98
용산구,여자인구수 (명),118562,3337,3608,3729,4571,7352,9604,9207,9912,8488,10130,9172,9255,8303,5917,5136,4596,3308,1674,776,237,250
성동구,총인구수 (명),304936,11582,10873,9873,12541,20845,25783,24640,27340,22610,25658,24414,24611,20948,13895,11080,9160,5437,2331,822,257,236
성동구,남자인구수 (명),149412,5888,5526,5038,6188,10151,12910,11933,13743,11527,12879,12091,12406,10335,6578,4980,4049,2091,745,215,76,63
성동구,여자인구수 (명),155524,5694,5347,4835,6353,10694,12873,12707,13597,11083,12779,12323,12205,10613,7317,6100,5111,3346,1586,607,181,173
광진구,총인구수 (명),353878,10463,11900,12604,15728,26711,35060,29782,29643,25445,29863,28266,27985,23883,15601,12226,9473,5516,2377,889,267,196
광진구,남자인구수 (명),171800,5357,6130,6409,8038,12404,17077,14716,14741,12681,14626,13804,13616,11456,7405,5671,4327,2222,761,255,61,43
광진구,여자인구수 (명),182078,5106,5770,6195,7690,14307,17983,15066,14902,12764,15237,14462,14369,12427,8196,6555,5146,3294,1616,634,206,153
동대문구,총인구수 (명),346501,10742,11706,11298,14724,25692,28943,24272,27703,24566,28270,27150,27869,25675,18270,14967,12561,7260,3096,1097,375,265
동대문구,남자인구수 (명),172490,5563,5989,5787,7343,12388,15347,12611,14336,12675,14527,13834,13837,12527,8745,6755,5642,3029,1052,305,123,75
동대문구,여자인구수 (명),174011,5179,5717,5511,7381,13304,13596,11661,13367,11891,13743,13316,14032,13148,9525,8212,6919,4231,2044,792,252,190
중랑구,총인구수 (명),400661,12299,13250,12817,16698,25474,31498,28878,31994,27195,33190,34707,37146,31941,21728,16839,13032,7271,3084,1121,318,181
